temp0,temp1,temp2,temp3,temp4,temp5
443.83445793918514,443.83445793918514,443.83445793918514,443.83445793918514,443.83445793918514,443.83445793918514
-14.850852254370624,-11.326646072196361,-8.678651663286368,-10.944338373396443,-15.39814700104928,-5.414961531095833
-15.501298655635301,-24.597473552050094,-8.927740873382959,-8.848159892332783,-15.71701217824991,-3.477465288830966
-11.505721433940487,-22.42740056899297,-10.117438633523955,-13.241095870975748,-15.93105287520449,-3.1376170939739207
-13.702105148022289,-22.34046218610244,-9.223480787445068,-10.579406905474972,-12.095927139273861,-3.774705526948356
-12.803216554365484,-18.345790648339804,-9.214414078471295,-15.037564725612505,-19.84658932501466,-0.6725946450653099
-13.712629906381276,-10.745091456499877,-9.325425094713456,-11.422979434981334,-14.223212278058202,-4.097302473498661
-11.115574867665218,-13.787544107442944,-10.293570851626674,-11.658062696478105,-13.721961139675132,-7.105733265870688
-16.789327260143917,-8.416463325764331,-9.136713416425476,-12.423027753701005,-16.266114816689228,-5.744943382639885
-27.027162482401508,-16.237658969861304,-9.919137140504473,-6.3667211738805,-19.720723227312448,-12.510355323874476
-24.61315799742201,-7.910638670163771,-14.632271266343231,-5.267249489370909,-24.35096270192887,-10.0997149890651
-22.07197027401321,-15.011051576725897,-15.219101555541844,-5.743590275340584,-26.272717111519995,-7.57197859973214
-19.689935395187163,-22.206992406765266,-15.413004508022917,-5.971883209444255,-24.147505483054758,-8.059026338400878
-25.16924710228231,-23.219562867668518,-16.15962911512264,-7.106374665679594,-12.937670543634667,-7.216063987283157
-26.158578668090087,-22.782928052679257,-18.384900077586416,-6.500395361058716,-10.375830220046542,-13.03827516186223
-24.02125464225818,-27.66524567423365,-12.246691661028606,-12.74182736068926,-5.512734853972827,-16.82637848068866
-20.070958357236268,-26.372226135481352,-17.220938237534522,-10.104818357080932,-4.782978049168283,-11.85605167128335
-14.715092447877126,-36.42453642662265,-13.783703560813613,-8.990225776071552,-5.134433696221165,-8.042435741323064
-10.408583421267322,-37.17788271473916,-12.690788647558309,-8.586801765901715,-3.8625479221033823,-5.537580635218259
-9.037499048764296,-33.42270461107526,-11.062076975693646,-8.596099287351533,-4.80646072085606,-5.262806433548553
-15.802961723111675,-39.37312521557409,-16.186823747817304,-8.038634965818078,-9.048259670408342,-17.757692249742707
-18.45116325859744,-40.01262964947593,-15.269165224460979,-7.673136542994615,-12.494395343664126,-14.788389196207605
-19.54257993822458,-36.86923414356579,-19.937953806032798,-5.923502603749285,-14.564906913418127,-8.459586206088249
-19.820022478351557,-29.63605591423733,-18.316177304511235,-11.381136810098988,-12.266140906577892,-14.045598659856097
-19.470916260109995,-36.89853616141812,-17.70497469030402,-6.65265176738344,-21.434923462119624,-10.90040422577687
-20.446790030590908,-41.50783513590693,-14.71698324971564,-5.7128655128867365,-21.727493956351495,-8.988555194625741
-97.1273424700504,-44.563114776604145,-26.680502560618123,-5.396597848613718,-24.914678146694968,-10.283573686098846
-127.02049915816954,-43.89024420673219,-24.68710114311123,-4.927111969896703,-21.19006972647801,-9.296000217894766
-126.29305924754851,-39.95306709580926,-23.396213413171438,-5.013163409120679,-21.90410802140082,-7.474570322425301
-122.99483101100395,-30.599406011917537,-32.48903338501273,-4.742936538949015,-28.9818961474127,-10.836374412690951
-120.25423693567569,-34.430728923136115,-27.924740560702443,-4.598493340138006,-22.17747074164844,-6.230028565378149
-110.1223682345343,-33.02459716344078,-20.297882268394726,-5.360469167717049,-32.8170318436105,-6.289482301992759
-113.52915100708407,-20.353081036345944,-15.019563201832124,-5.639222054276435,-34.50461057184062,-11.293542267990649
-110.61097535470552,-21.24048042126408,-20.24339816096686,-6.803595985967763,-23.745337104127906,-10.636510253227039
-115.19564912746827,-19.0139104255232,-8.177065027512853,-6.474637942500872,-26.13190482614581,-13.276916805931156
-107.95429390695813,-29.36749829790281,-2.5896534502499953,-5.859756490779322,-31.47611814120147,-12.348078510864179
-107.39187020270361,-24.266166136716063,-2.4015942092361926,-4.931887405618681,-46.77596978911767,-11.142165605997663
-107.01166808916035,-45.75429680325264,-1.8175372785641624,-5.084143671434526,-44.65001525857334,-8.587580432276596
-107.25127389683044,-47.82850223223898,2.955842416901308,-9.436975170123526,-45.291962526707266,-4.890804135036812
-107.49096791066181,-38.84811424714854,1.0822764642899152,-10.501945900288273,-38.186622359717724,-8.633436553372736
-107.96103521341375,-37.8194359059232,3.624267437250614,-13.070062248976834,-37.42089477853471,-7.937742664898768
-107.88112168499495,-37.27126245258341,3.1604414629881883,-12.750924223389207,-53.680388610193546,-1.61171532704342
-107.79659758468068,-37.58461314313758,2.168424074472899,-19.934837766961245,-45.926980736048364,-1.5994877949227428
-107.82227958397792,-34.73290816025337,1.0015286458096269,-19.583027885940048,-48.38962492565592,-8.469214830554513
-108.81835503331305,-37.894803080626744,0.8053072538929439,-19.851862092309226,-42.0749849701247,-2.6166418321534834
-108.36107042826573,-40.00627647568657,0.794746980936966,-25.993450707376592,-42.92848413592921,-1.5979283939122664
-107.1459197068629,-40.99380161989142,-4.8708675360976645,-21.65855464491656,-46.99698611591556,-0.7805780314436235
-106.69843601674381,-43.01202754123349,-8.661048923367478,-114.16625720779975,-38.51747052711179,-0.8776362876412956
-107.39139205247182,-35.279422212543544,-11.366362899900912,-109.74972995481168,-36.5959105259747,-3.268073170414074
-108.73238604113632,-43.68711914175562,-9.637507847692182,-113.80551670347448,-31.431462838640297,-5.27295606114281
