temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7
7.288524275529282,7.288524275529282,7.288524275529282,7.288524275529282,7.288524275529282,7.288524275529282,7.288524275529282,7.288524275529282
7.534292154893792,7.323441710324072,7.4502143148962725,7.318452868241037,7.465909375821476,7.271160799019913,7.423500366489837,7.433794670580628
7.618203491354038,7.184248724210009,7.071970902989209,7.382550967494715,7.224574017947676,7.124506927598779,7.342436715644202,7.308560359903419
7.59076801890904,7.18547856076424,6.992287645668282,7.293157112047806,7.1669669319446205,7.1360610125141015,7.348201985566276,7.230872099451432
7.4989372600212985,7.097226891791599,7.003221040339998,7.408228077906857,7.4417233088116825,7.268277159458649,7.302054862151221,6.969968989734898
7.525983168264037,7.253752685172361,6.975440287314947,7.7533343604460105,7.661249335913786,7.1690142137399535,7.338749495550465,6.9237912576189355
7.650380699648071,7.214451876951638,6.933997923272992,7.747857709203564,7.454269254649931,7.181193075119724,7.22344375339499,7.0016668423433135
7.632171144680616,7.060905470231614,6.77267960055268,7.605834016782202,7.187498019789489,7.152441320659335,7.287261160303382,7.1387160848050595
7.652006925990837,7.1107650235643405,6.772653173264276,7.642210486298019,6.895413696175214,7.195072559218327,7.275398394760623,7.375929002900471
7.705947173995028,7.05560784405293,6.884570125980284,7.5555395815932105,7.32788680693809,7.166427525527529,7.234361931281279,7.148483999081393
7.750254982058075,7.08069310082123,6.927833210435975,7.547112589623581,7.740511460618922,7.078676999083198,7.109199338830747,7.2560510840912364
7.847608838051599,6.60038437993303,6.988052215425742,7.4799740949995615,7.669659347393506,7.064116797182741,7.344996785866813,7.1998194050952575
7.736552581558758,6.6454491669178815,7.016074551461606,7.41032452151172,7.598897260717609,6.974011758137489,7.283223956393156,7.194887617528064
7.762400553341334,7.055040727456492,6.936983263510934,7.597247579454693,7.405225637824945,6.93535568193982,7.191690327527936,7.261479266302946
7.680363923194285,6.641295407412999,7.09128284133011,7.532831719548367,7.47650650991293,7.075813230310264,7.050421863874057,7.233528276374317
7.559573275991043,6.577903913395886,7.075177082679466,7.533690461642043,7.772837944540225,7.123902520116498,6.922243650119155,7.02051263211351
7.48099587140146,6.927749307534979,7.045911996550684,7.59861840101677,7.751841469372146,7.2318374890777495,7.128987462126309,7.064010851361596
7.4483107336194685,6.9615043345262615,7.231441575426993,7.5096959850579825,7.6245148652516725,7.0689242434804935,7.1621947333017735,7.1014262936070205
7.11771239966146,7.049041076882623,7.187181729213689,7.686360266252447,7.858182896720837,7.020679782786492,7.1578725610453455,7.176410276133989
6.928254410455862,6.996243326497423,7.088575997293434,7.7451469306961584,7.602721974072189,7.010346682214692,7.203165647534361,6.927276663214203
