temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7
-6.794997237347612,-6.794997237347612,-6.794997237347612,-6.794997237347612,-6.794997237347612,-6.794997237347612,-6.794997237347612,-6.794997237347612
-6.941151240559909,-7.833865948200445,-7.091139001247017,-6.688001341595468,-7.29021010977759,-8.077350869768004,-6.64123398911207,-6.743426105491757
-6.48695476183713,-8.180155518484723,-7.241560475008558,-6.742226865742313,-7.191028766128393,-8.540153703928343,-2.1228169756445165,-2.440009201750774
-6.807009652996282,-8.353300303626861,-7.01316680907538,-7.441978319767699,-7.025937587863154,-8.375220649198893,-2.0976659694912856,2.5437732210946877
-6.573029207847488,-8.537825393844187,-6.780927602954587,-7.241607293539947,-5.113090493279733,-7.569142920205913,-2.082575365799347,0.23671147838440518
-6.629459735408225,-8.375791613446701,-6.626101465540724,-7.20489525101294,-3.2403394262663574,-7.130910090974449,-0.7697290931398054,-1.30132968342245
-6.669767255094465,-8.471111208964013,-6.515511367387965,-7.2599530065551905,-3.6000891258524743,-7.0372807286545065,-1.0681279344050876,-2.399930513284489
-6.761393100296439,-8.484347934024626,-6.432568793773395,-7.5906441288590925,-3.854665625298774,-7.10109588444227,-1.6561493028132597,-3.223881135681019
-6.498358202954553,-8.290792917223595,-6.368057903184286,-7.765556120830599,-4.0574755974968655,-7.08027296511281,-2.0991753293724518,-3.677240447511719
-6.7468549033012355,-8.186403025453327,-6.3077569350105,-7.905485714407805,-3.921629740930314,-7.109594776634049,-2.3994635519859706,-3.845716371499647
-6.839827116594409,-8.115971984778223,-6.675746832319217,-8.015198784137919,-3.8341344281637872,-7.1084068163711525,-2.467406083777891,-3.5513313366243096
-6.917303961005388,-7.899143565268237,-6.982405080076482,-8.228290494224646,-3.7563583474568385,-7.250010591220499,-2.7171936805577133,-3.430853092664368
-6.9828612908916,-7.927753993341249,-7.269723983159272,-8.122972295349882,-3.646454546792725,-7.552679732050034,-3.0259151635101067,-3.151528634030505
-7.039053287936925,-7.848772032907992,-7.429099712805928,-7.841054376444455,-3.552519796454606,-7.276892570949204,-3.2383668405111856,-1.0482499102039404
-7.08775301870954,-7.8778439615357945,-7.567225345166363,-7.826861165009492,-3.4613481065638783,-7.165822358487721,-3.2846661934620163,-1.32760234629185
-7.130365283135579,-8.055717922611997,-7.688085273481745,-7.581637564512798,-3.410822400202025,-7.138413673708746,-3.257028355688133,-1.6136151700605952
-6.92968045616332,-8.087377340234896,-7.794726386701198,-7.365263799368655,-3.3495508477930764,-7.2979801275389535,-3.3915475739084746,-1.8184344312731182
-7.037534379946308,-8.089589877728784,-7.8895184873407125,-7.172931563684973,-3.304202958425793,-7.274490055304763,-3.568039007383823,-1.9869633962557245
-6.930407410012459,-8.172991868454826,-7.974332472123435,-7.000844826494308,-3.2811860831429893,-7.360809875639326,-3.825022873533171,-2.110822315401879
-7.080700733039372,-8.166488760676035,-8.050665058427885,-6.8459667630227115,-3.282497378781385,-7.544285565474157,-4.056308353067584,-2.2115055518311495
-7.222312537640612,-8.113308815671259,-8.119727874608103,-6.705838991310314,-3.330912822489513,-7.643822509348079,-4.2655666440749105,-2.284770786852493
-7.218837561120969,-8.149379719586504,-8.182512252953755,-6.68706410489394,-3.443778952922533,-7.495453295832089,-4.45580145408157,-2.4049922106200814
-7.219310396725954,-8.248636926755667,-8.335408947787977,-6.669921817296381,-3.5979417731080408,-7.531142511762416,-4.629494106696347,-2.5889719440192933
-7.219743829363858,-8.340010154584755,-8.534558993254308,-6.654208053665285,-3.756438616131921,-7.3670436804346515,-4.748597273124173,-2.6816415938054767
-7.220142587390729,-8.444535413824658,-8.773666636983434,-6.639751391124677,-3.901945785291123,-7.217265560515084,-4.861868388405315,-2.730436297984693
-7.297789036699681,-8.541020268507646,-8.726620764161567,-5.822695235788594,-4.072442485179315,-6.801563848490638,-5.004175109739135,-2.807075952443576
-7.2578350918669345,-8.610216537879573,-8.683059770807986,-5.60527103235454,-4.229005430117269,-6.777213581125505,-4.520717362608566,-2.869900374312047
-7.172948993461694,-8.575053358582737,-8.642610276979664,-5.403377129165775,-4.375373560147834,-6.8035128764165576,-4.071792311701609,-2.9328892218628986
-7.243164467445758,-8.462416088206828,-8.604950403415362,-5.215406943438304,-4.494690444766603,-6.911081568587196,-3.6538276091330633,-2.9817171876120145
-7.301954665309825,-8.32114010296436,-8.56980118808868,-5.0399681034259975,-4.630286938571855,-6.999809425865821,-3.2637272200690868,-3.0902251070205238
-7.356951947182663,-8.212014875273056,-8.536919664073398,-4.875847898253196,-4.742089509950263,-7.033325181481903,-2.898794598041496,-3.200393123258215
-7.408511898938449,-8.139281004784086,-8.506093235309066,-4.721985205903696,-4.937742768001813,-7.152491581727011,-2.903218646269928,-3.3036756384810504
-7.456947005133277,-8.062975115718658,-8.477135074954699,-4.492859261614383,-4.9064095839998325,-7.197627764424418,-3.029658462424169,-3.4006986073267442
-7.48880261827782,-7.990008537584318,-8.547195547288801,-4.277211314047969,-4.983812760257433,-7.239626143672488,-3.102640184331744,-3.492014342710927
-7.455083730061758,-7.903494390720979,-8.613252564060955,-4.073474371985982,-5.108803347497397,-7.279224615534953,-3.1838875496111783,-3.578112036073156
-7.349185434113366,-7.833974723002097,-8.596980368699008,-4.070532673162987,-5.217711789464527,-7.316623172293948,-3.211650825856018,-3.6594265242485946
-7.366706669485794,-7.777383580488435,-8.480365228015165,-4.072133186197932,-5.332732154408771,-7.352000185444349,-3.217972808609089,-3.7363456346848207
-7.37840468036491,-7.766473200826801,-8.349099941668676,-4.056981369091387,-5.467348623659748,-7.385515250534203,-3.2044653081776757,-3.8092163708875613
-7.415957173232314,-7.736898110801164,-8.256444724141591,-4.063963766567131,-5.599532268612539,-7.417311594337398,-3.1948790287707522,-3.8783501462593923
-7.496496226692448,-7.7501774861402435,-8.189675367457028,-4.078314464345903,-5.612970517013684,-7.4475181209504315,-3.226871083387722,-3.9440272328626307
-7.1871022179559505,-7.735385913387967,-8.114623963652491,-4.036218481856866,-5.713595951809018,-7.476251158460392,-3.290841999894446,-4.006500559143761
-7.135024251970378,-7.718826203968651,-8.06051966438993,-3.9868554939243928,-5.851121862773409,-7.262713284432918,-3.3933984195703237,-4.0659989651257895
-7.0864547419192725,-7.712024604100904,-8.004915437613652,-3.9469756505186036,-5.982251219739456,-7.278152422890498,-3.4882667429231025,-4.122730003387724
-7.04009293687049,-7.6928314598897805,-7.96413953973555,-3.9030464197876538,-6.107420151388864,-7.2568767955734765,-3.6316116027844454,-4.176882358092297
-6.990287603772447,-7.697446707277361,-7.925175903985363,-3.8703009732081166,-6.22702601940941,-7.124786979671755,-3.768585579985284,-4.228627941476668
-6.942647719939536,-7.5385729796905085,-7.88790633935475,-3.84450940750697,-6.341431632298628,-6.998440199244021,-3.8492006705833406,-4.278123716887804
-6.897035065205898,-7.479310844661317,-7.852222713644588,-3.8144139097098506,-6.450968921235113,-6.877469877557892,-3.889514700426599,-4.325513289089956
-6.853322937752829,-7.422517965258343,-7.81802590567235,-3.79633810353133,-6.55594215646591,-6.761539985942015,-3.9281489790263873,-4.370928295783684
-6.811394978767232,-7.368043162565692,-7.785224885780611,-3.7828903517429353,-6.656630769850554,-6.650341926636994,-3.958641111444492,-4.385185309013585
-6.771144138141057,-7.315747351980748,-7.753735906684542,-3.8127100990981204,-6.753291838699811,-6.599857751547665,-4.000299078329044,-4.396512341940967
-6.732471761853166,-7.265502357497174,-7.695636009354548,-3.8530939375547155,-6.846162277398117,-6.558262673377066,-3.998346857382803,-4.260366479577291
-6.695286784653269,-7.21718986280143,-7.647155881803526,-3.947985115786408,-6.935460776146488,-6.507632555916804,-4.039551468984552,-4.245898266918545
-6.659505014140161,-7.170700481113072,-7.620512719982642,-3.9579024323759433,-7.021389520225109,-6.465492792647002,-4.15535931358244,-4.312671391452556
-6.625048494386799,-7.125932928376136,-7.55888976903103,-3.965392634430739,-7.104135718226745,-6.416384067525949,-4.2134180608497696,-4.397351364000913
-6.551911542503131,-7.0827932866478145,-7.503038876999911,-3.9531222021755412,-7.0746226398007455,-6.356823119565272,-4.269365580943742,-4.448732630891173
-6.542268130954598,-7.0411943464097915,-7.443418470014957,-3.9553086562926194,-7.046163599889961,-6.285200220435251,-4.213400416505382,-4.45307163194596
-6.531186351579024,-7.001055018109945,-7.38339892912612,-3.944031273429688,-7.018703122783063,-6.225130410253929,-4.289293248399018,-4.484429004024491
-6.502782027324432,-6.962299804579057,-7.365987838664426,-3.965659429261378,-6.992189558679852,-6.196727601362958,-4.348072786592409,-4.557711636189496
-6.476872601828434,-6.924858327100064,-7.168686152513642,-3.990748699951194,-6.966574759461495,-6.1588788988159,-4.40485979806738,-4.6299142364652655
-6.456616330966187,-6.888664898870371,-6.977961189234549,-4.0375932325579065,-6.941813786883751,-6.141936104578289,-4.459753909159853,-4.636094499314823
-6.423876989448679,-6.853658140418701,-6.793489503440018,-4.082522662442871,-6.917864649472489,-6.144905469504918,-4.512848213331261,-4.700492665111446
-6.393811935333029,-6.819780632239665,-6.614968517187245,-4.139983330965098,-6.894688064880945,-6.125479618995224,-4.564229798013268,-4.7625122379961535
-6.370575672069415,-6.786978600510757,-6.442114863831386,-4.195619851280271,-6.87224724487961,-6.137157172729185,-4.613980221276799,-4.822562935551187
-6.393692581193754,-6.755201632273379,-6.274662887142899,-4.249517730335592,-6.850507700503319,-6.152833277155127,-4.662175943813344,-4.880737048807628
-6.416333987719026,-6.724402416904842,-6.112363278967902,-4.242147550674063,-6.829437065184757,-6.125499132730586,-4.708888721041073,-4.937121189348485
-6.38038682816836,-6.694536511092927,-5.954981840737602,-4.235000709790157,-6.809004933966758,-6.0949300624546785,-4.754185959564932,-4.991796719569922
-6.347461359552689,-6.665562124857488,-5.802298355887312,-4.228067207440097,-6.789182717113475,-6.063907166986808,-4.798131041714943,-5.028841005250431
-6.315929854328498,-6.637439926452503,-5.654105561767913,-4.221337631629746,-6.76994350663823,-6.026682387029246,-4.840783621448779,-5.059255114924511
-6.272861882574879,-6.610132864233169,-5.510208210956321,-4.214803115987811,-6.751261954437629,-5.980159660945577,-4.882199894523662,-5.0910381909605915
-6.2259468350284095,-6.58360600379153,-5.434457279358849,-4.208455300792788,-6.733114160871332,-5.934567290873745,-4.922432845510691,-5.146166166713902
-6.179678732792312,-6.557826378855291,-5.4274211441758915,-4.2022862972934,-6.715477572757606,-5.90338945902507,-4.961532473934706,-5.046871016478665
-6.142830264928952,-6.5327628546117245,-5.441368120164565,-4.196288655002331,-6.698330889869265,-5.869447850837188,-4.999546001569164,-4.948933384398059
-6.099669247706828,-6.522883125321954,-5.444679398810271,-4.190455331678137,-6.681653979114847,-5.826558653797153,-5.03651806269309,-4.853678975114184
-6.054700339070019,-6.565885381136269,-5.4333709982063425,-4.184779665741084,-6.636292787036319,-5.786342916270688,-4.977091683884448,-4.726042265021329
-6.01094869833075,-6.607740910128869,-5.425171831330742,-4.204136827367181,-6.6721649826447385,-5.775672772856164,-4.991824744195189,-4.757247119688264
-5.963818233981672,-6.648494977832189,-5.424844450087183,-4.222564810769484,-6.70013160542333,-5.703675803616555,-4.980630185853734,-4.787630793969227
-5.916281357983136,-6.688190498322436,-5.43986353110942,-4.227393378447584,-6.745090195352669,-5.653048881011707,-4.9749432554986655,-4.81722528190523
-5.904811147517983,-6.726868184953959,-5.5106555723653825,-4.2268125207174645,-6.799067638975289,-5.656154857664888,-5.006648647131754,-4.846060936817234
-5.904036509180785,-6.764566689645443,-5.5943651567349795,-4.235136046478566,-6.80530831432606,-5.672115254505777,-5.014758371150721,-4.874166575149186
-5.897974611989463,-6.801322731719639,-5.639222281722245,-4.2441369244540414,-6.798904294416898,-5.696968128696298,-4.926299227238395,-4.90156957252284
-5.88721566974547,-6.837171217199412,-5.663127795916837,-4.2793664784841425,-6.557073971475548,-5.765924676626966,-4.876751014223358,-4.9282959526773915
-5.87671914072694,-6.872145349374799,-5.667195348621718,-4.303040865426673,-6.321141949093742,-5.831204820665444,-4.8284112942086885,-4.9543704699013436
